route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"4-150-mjp-1","","150","Tarneit Station - Williams Landing Station","3","FF8200","FFFFFF"
"4-151-mjp-1","","151","Williams Landing Station - Tarneit Station","3","FF8200","FFFFFF"
"4-153-mjp-1","","153","Williams Landing Station - Werribee Station","3","FF8200","FFFFFF"
"4-160-mjp-1","","160","Hoppers Crossing Station - Tarneit Station","3","FF8200","FFFFFF"
"4-161-mjp-1","","161","Hoppers Crossing Station - Werribee Station","3","FF8200","FFFFFF"
"4-166-mjp-1","","166","Wyndham Vale Station - Hoppers Crossing Station","3","FF8200","FFFFFF"
"4-167-mjp-1","","167","Tarneit Station - Hoppers Crossing Station","3","FF8200","FFFFFF"
"4-170-mjp-1","","170","Werribee Station - Tarneit Station","3","FF8200","FFFFFF"
"4-180-mjp-1","","180","Werribee Station - Tarneit Station","3","FF8200","FFFFFF"
"4-181-mjp-1","","181","Werribee Station - Hoppers Crossing Station","3","FF8200","FFFFFF"
"4-190-mjp-1","","190","Wyndham Vale Station - Werribee Station","3","FF8200","FFFFFF"
"4-19i-mjp-1","","191","Manor Lakes - Werribee Station","3","FF8200","FFFFFF"
"4-192-mjp-1","","192","Werribee Station - Wyndham Vale Station","3","FF8200","FFFFFF"
"4-200-mjp-1","","200","City (Queen St) - Bulleen","3","FF8200","FFFFFF"
"4-200-A-mjp-1","","200","City (Queen St) - Bulleen","3","FF8200","FFFFFF"
"4-201-mjp-1","","201","Deakin University - Box Hill Station","3","FF8200","FFFFFF"
"4-201-B-mjp-1","","201","Deakin University - Box Hill Station","3","FF8200","FFFFFF"
"4-207-mjp-1","","207","City (Queen St) - Doncaster SC","3","FF8200","FFFFFF"
"4-207-A-mjp-1","","207","City (Queen St) - Doncaster SC","3","FF8200","FFFFFF"
"4-215-mjp-1","","215","Highpoint SC - Caroline Springs","3","FF8200","FFFFFF"
"4-215-A-mjp-1","","215","Highpoint SC - Caroline Springs","3","FF8200","FFFFFF"
"4-216-mjp-1","","216","Brighton Beach - Sunshine Station","3","FF8200","FFFFFF"
"4-216-A-mjp-1","","216","Brighton Beach - Sunshine Station","3","FF8200","FFFFFF"
"4-219-mjp-1","","219","Gardenvale - Sunshine South","3","FF8200","FFFFFF"
"4-219-A-mjp-1","","219","Gardenvale - Sunshine South","3","FF8200","FFFFFF"
"4-220-mjp-1","","220","Gardenvale - Sunshine","3","FF8200","FFFFFF"
"4-220-A-mjp-1","","220","Gardenvale - Sunshine","3","FF8200","FFFFFF"
"4-223-mjp-1","","223","Yarraville - Highpoint SC","3","FF8200","FFFFFF"
"4-223-A-mjp-1","","223","Yarraville - Highpoint SC","3","FF8200","FFFFFF"
