shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.1.H","-37.8102566033201","145.026228794987","1","0"
"3-109-mjp-1.1.H","-37.8076486180785","145.028706257636","2","362.463791295075"
"3-109-mjp-1.1.H","-37.8076486180785","145.028706257636","3","362.463791295075"
"3-109-mjp-1.1.H","-37.8074803197435","145.028881111525","4","386.671228168896"
"3-109-mjp-1.1.H","-37.8074551965706","145.028995365024","5","397.111534677806"
"3-109-mjp-1.1.H","-37.8068775042967","145.030555475627","6","548.719581957626"
"3-109-mjp-1.1.H","-37.8068775042967","145.030555475627","7","548.719581957626"
"3-109-mjp-1.1.H","-37.806851809846","145.030635667461","8","556.33535506349"
"3-109-mjp-1.1.H","-37.806853708503","145.030749201568","9","566.385230684611"
"3-109-mjp-1.1.H","-37.8069589724669","145.031655082933","10","647.007808167596"
"3-109-mjp-1.1.H","-37.8069589724669","145.031655082933","11","647.007808167596"
"3-109-mjp-1.1.H","-37.8073801487349","145.035289990663","12","970.490419755916"
"3-109-mjp-1.1.H","-37.8073801487349","145.035289990663","13","970.490419755916"
"3-109-mjp-1.1.H","-37.8076849165462","145.037894389111","14","1202.31147143156"
"3-109-mjp-1.1.H","-37.8076849165462","145.037894389111","15","1202.31147143156"
"3-109-mjp-1.1.H","-37.8081908031161","145.042299523221","16","1594.26172337688"
"3-109-mjp-1.1.H","-37.8081908031161","145.042299523221","17","1594.26172337688"
"3-109-mjp-1.1.H","-37.8086007619314","145.045821265679","18","1907.6975222257"
"3-109-mjp-1.1.H","-37.8086007619314","145.045821265679","19","1907.6975222257"
"3-109-mjp-1.1.H","-37.8090096760358","145.049286282291","20","2216.17280486598"
"3-109-mjp-1.1.H","-37.8090096760358","145.049286282291","21","2216.17280486598"
"3-109-mjp-1.1.H","-37.8094483292343","145.052920940949","22","2539.90880842443"
"3-109-mjp-1.1.H","-37.8094483292343","145.052920940949","23","2539.90880842443"
"3-109-mjp-1.1.H","-37.810013325916","145.05766551227","24","2962.37419162169"
"3-109-mjp-1.1.H","-37.810013325916","145.05766551227","25","2962.37419162169"
"3-109-mjp-1.1.H","-37.8103485550552","145.060507846333","26","3215.40581019929"
"3-109-mjp-1.1.H","-37.8103485550552","145.060507846333","27","3215.40581019929"
"3-109-mjp-1.1.H","-37.8108410504244","145.06469783369","28","3588.37899958426"
"3-109-mjp-1.1.H","-37.8108410504244","145.06469783369","29","3588.37899958426"
"3-109-mjp-1.1.H","-37.8113004149103","145.068525248011","30","3929.2308735706"
"3-109-mjp-1.1.H","-37.8113004149103","145.068525248011","31","3929.2308735706"
"3-109-mjp-1.1.H","-37.8116443925258","145.071367457309","32","4182.39090201111"
"3-109-mjp-1.1.H","-37.8116443925258","145.071367457309","33","4182.39090201111"
"3-109-mjp-1.1.H","-37.8121756920151","145.075749697902","34","4572.73690237489"
"3-109-mjp-1.1.H","-37.8121756920151","145.075749697902","35","4572.73690237489"
"3-109-mjp-1.1.H","-37.8128220210926","145.08111729684","36","5050.77455779547"
"3-109-mjp-1.1.H","-37.8128220210926","145.08111729684","37","5050.77455779547"
"3-109-mjp-1.1.H","-37.8131145594904","145.083586094195","38","5270.56536743045"
"3-109-mjp-1.1.H","-37.8131145594904","145.083586094195","39","5270.56536743045"
