route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-995-B-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-D-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-F-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-G-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-H-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-I-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-J-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-K-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-L-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-EC2-A-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-B-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-C-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-D-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-E-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-F-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-G-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-H-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-I-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-J-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-K-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-L-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3","A57FB2","FFFFFF"
"5-Ech-A-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-B-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-C-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-D-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-E-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-F-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-G-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-H-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-I-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-J-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-K-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-Ech-L-mjp-1","","","Echuca/Moama - Melbourne Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-V01-A-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-B-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-D-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-E-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-F-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-G-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-H-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-I-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-J-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V01-K-mjp-1","","","Albury - Melbourne Via Seymour","3","A57FB2","FFFFFF"
"5-V02-A-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-B-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-C-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-D-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-E-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-F-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-G-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-H-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-I-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-J-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-K-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V02-L-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3","A57FB2","FFFFFF"
"5-V03-A-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-B-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-C-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-D-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-E-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-F-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-G-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-H-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-I-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-J-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-K-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-L-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V04-A-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
"5-V04-B-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
"5-V04-C-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
"5-V04-D-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
"5-V04-E-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
"5-V04-F-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
"5-V04-G-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
"5-V04-H-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
"5-V04-I-mjp-1","","","Melbourne - Ararat Via Ballarat","3","A57FB2","FFFFFF"
