route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"5-EC2-G-mjp-1","T0","1331.T0.5-EC2-G-mjp-1.1.H","5-EC2-G-mjp-1.1.H","Melbourne","0"
"5-EC2-G-mjp-1","T0","1332.T0.5-EC2-G-mjp-1.1.H","5-EC2-G-mjp-1.1.H","Melbourne","0"
"5-EC2-G-mjp-1","T0","1333.T0.5-EC2-G-mjp-1.2.H","5-EC2-G-mjp-1.2.H","Melbourne","0"
"5-EC2-G-mjp-1","T0","1404.T0.5-EC2-G-mjp-1.3.R","5-EC2-G-mjp-1.3.R","Echuca/Moama","1"
"5-EC2-G-mjp-1","T0","1405.T0.5-EC2-G-mjp-1.3.R","5-EC2-G-mjp-1.3.R","Echuca/Moama","1"
"5-EC2-G-mjp-1","T0","1476.T0.5-EC2-G-mjp-1.4.R","5-EC2-G-mjp-1.4.R","Echuca/Moama","1"
"5-Ech-G-mjp-1","T0","1015.T0.5-Ech-G-mjp-1.1.H","5-Ech-G-mjp-1.1.H","Echuca/Moama","0"
"5-Ech-G-mjp-1","T0","1016.T0.5-Ech-G-mjp-1.1.H","5-Ech-G-mjp-1.1.H","Echuca/Moama","0"
"5-Ech-G-mjp-1","T0","1323.T0.5-Ech-G-mjp-1.2.R","5-Ech-G-mjp-1.2.R","Melbourne","1"
"5-Ech-G-mjp-1","T0","1324.T0.5-Ech-G-mjp-1.2.R","5-Ech-G-mjp-1.2.R","Melbourne","1"
"5-V01-F-mjp-1","T0","2136.T0.5-V01-F-mjp-1.1.H","5-V01-F-mjp-1.1.H","Albury","0"
"5-V01-F-mjp-1","T0","1440.T0.5-V01-F-mjp-1.2.H","5-V01-F-mjp-1.2.H","Albury","0"
"5-V01-F-mjp-1","T0","1441.T0.5-V01-F-mjp-1.3.H","5-V01-F-mjp-1.3.H","Albury","0"
"5-V01-F-mjp-1","T0","1442.T0.5-V01-F-mjp-1.4.H","5-V01-F-mjp-1.4.H","Albury","0"
"5-V01-F-mjp-1","T0","910.T0.5-V01-F-mjp-1.5.R","5-V01-F-mjp-1.5.R","Melbourne","1"
"5-V01-F-mjp-1","T0","1961.T0.5-V01-F-mjp-1.6.R","5-V01-F-mjp-1.6.R","Melbourne","1"
"5-V01-F-mjp-1","T0","909.T0.5-V01-F-mjp-1.7.R","5-V01-F-mjp-1.7.R","Melbourne","1"
"5-V01-F-mjp-1","T0","920.T0.5-V01-F-mjp-1.8.R","5-V01-F-mjp-1.8.R","Melbourne","1"
"5-V02-G-mjp-1","T0","1244.T0.5-V02-G-mjp-1.1.H","5-V02-G-mjp-1.1.H","Adelaide","0"
"5-V02-G-mjp-1","T0","1247.T0.5-V02-G-mjp-1.2.H","5-V02-G-mjp-1.2.H","Adelaide","0"
"5-V02-G-mjp-1","T0","2145.T0.5-V02-G-mjp-1.5.R","5-V02-G-mjp-1.5.R","Melbourne","1"
"5-V02-G-mjp-1","T0","1406.T0.5-V02-G-mjp-1.6.R","5-V02-G-mjp-1.6.R","Melbourne","1"
"5-V02-G-mjp-1","T0","976.T0.5-V02-G-mjp-1.7.R","5-V02-G-mjp-1.7.R","Melbourne","1"
